Canción,id_tracks,Artista/Banda,Producto,Categoría de Producto,Industria,Año
If You Wanna Be Happy,6VT5FAXeUNsHaz0wZbhYT3,Jimmy Soul,Pepsi,Alimentos y bebidas,Consumo y Retail,1963
Bring a Little Lovin',24hTWZvRrl74dwKPzqVNYf,Los Bravos,Coca-Cola,Alimentos y bebidas,Consumo y Retail,1968
"Hello, Dolly!",2gd28EFQmVBuAp5ihe1dAR,Louis Armstrong,Coca-Cola,Alimentos y bebidas,Consumo y Retail,1980
Felicità,7sXTcibuNYugjjYNfgf2kY,Al Bano and Romina Power,Nutella,Alimentos y bebidas,Consumo y Retail,1982
Merry Christmas Baby,4eCE7kaSrhsyTNkiZw2KKY,Charles Brown,Crown Royal,Alimentos y bebidas,Consumo y Retail,1983
Mack the Knife,3E5ndyOfO6vFDEIE42HA8o,Bobby Darin,McDonalds,Alimentos y bebidas,Consumo y Retail,1984
Our House,0zcJ8MaIrXrExhV8hTkFDB,Madness,Maxwell House,Alimentos y bebidas,Consumo y Retail,1985
I Heard It Through The Grapevine,1tqT6DhmsrtQgyCKUwotiw,Marvin Gaye,California Raisins,Alimentos y bebidas,Consumo y Retail,1986
I'm Too Sexy,2WElktskrNJEwgpp5Vouxk,Right Said Fred,Pepsi,Alimentos y bebidas,Consumo y Retail,1988
Lean on Me,3M8FzayQWtkvOhqMn2V4T2,Bill Withers,Coca-Cola,Alimentos y bebidas,Consumo y Retail,1989
Do It Again,5XIdG3U7eQozVo6cRZFLxD,The Chemical Brothers,Bacardi,Alimentos y bebidas,Consumo y Retail,1990
Do Wah Diddy Diddy,7gEpTMp9MQc1uJwivtL37R,Manfred Mann,Heinz Baked Beans,Alimentos y bebidas,Consumo y Retail,1990
Freedom! '90,2FaZsSfghCffWexhcG7QEC,George Michael,Pepsi,Alimentos y bebidas,Consumo y Retail,1990
Unbelievable,1FneEQoaS41dMjX76qAVL3,EMF,Kraft,Alimentos y bebidas,Consumo y Retail,1991
We Are Blessed,4xK4dHZtGcdprnAJC5L9KN,Luciano Pavarotti,Barilla,Alimentos y bebidas,Consumo y Retail,1992
Cantaloop (Flip Fantasia),06DSI8L6IT8SizCw3JLckz,Us3,Coca-Cola,Alimentos y bebidas,Consumo y Retail,1993
