Canciones,id_tracks,duracion_ms,popularidad,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,key,mode,time_signature,Canción,Artista/Banda,Producto,Categoría de Producto,Industria,Año
(Sittin' On) the Dock of the Bay,3zBhihYUHBmGd2bcQIobrF,163755,82,683,768,367,179,81,-11,315,103,532,2,1,4.0,(Sittin' On) the Dock of the Bay,Otis Redding,Top Gun,Película,Entretenimiento y Medios,1986
(Sittin' On) the Dock of the Bay,3zBhihYUHBmGd2bcQIobrF,163755,82,683,768,367,179,81,-11,315,103,532,2,1,4.0,(Sittin' On) the Dock of the Bay,Otis Redding,Jarhead,Película,Entretenimiento y Medios,2005
(Sittin' On) the Dock of the Bay,3zBhihYUHBmGd2bcQIobrF,163755,82,683,768,367,179,81,-11,315,103,532,2,1,4.0,(Sittin' On) the Dock of the Bay,Otis Redding,Soul Men,Película,Entretenimiento y Medios,2008
(Sittin' On) the Dock of the Bay,3zBhihYUHBmGd2bcQIobrF,163755,82,683,768,367,179,81,-11,315,103,532,2,1,4.0,(Sittin' On) the Dock of the Bay,Otis Redding,The Simpsons,Series de televisión,Entretenimiento y Medios,1989
(Sittin' On) the Dock of the Bay,3zBhihYUHBmGd2bcQIobrF,163755,82,683,768,367,179,81,-11,315,103,532,2,1,4.0,(Sittin' On) the Dock of the Bay,Otis Redding,Sons of Anarchy,Series de televisión,Entretenimiento y Medios,2008
2 Hearts,1OODa4x3P0DarexE3Uc2a8,173546,11,861,0,583,681,49,-6,35,112,491,9,0,4.0,2 Hearts,Kylie Minogue,M&S,Moda y belleza,Consumo y Retail,2007
2 Hearts,1OODa4x3P0DarexE3Uc2a8,173546,11,861,0,583,681,49,-6,35,112,491,9,0,4.0,2 Hearts,Kylie Minogue,Greys Anatomy,Series de televisión,Entretenimiento y Medios,2008
5 Years Time,1Wl8eGdNRODM6p8LYP2ACB,215013,0,416,803,0,0,85,-7,105,121,763,0,1,4.0,5 Years Time,Noah and the Whale,SunChips,Película,Entretenimiento y Medios,2008
A 1000 por Hora (En Vivo),2h8gxXvnC6MAvLnNUnNzgl,201422,39,673,513,897,0,986,-6,659,92,732,0,1,4.0,A 1000 por Hora (En Vivo),OV7,DKDA: Sueños de juventud,Series de televisión,Entretenimiento y Medios,1999
A Little Less Conversation - JXL Radio Edit Remix,28ASL502mpsN4rqS2NmrS3,211506,0,385,597,0,205,133,-5,502,115,717,4,0,4.0,A Little Less Conversation - JXL Radio Edit Remix,Elvis Presley,Oceans Twelve,Película,Entretenimiento y Medios,2004
A Little Less Conversation - JXL Radio Edit Remix,28ASL502mpsN4rqS2NmrS3,211506,0,385,597,0,205,133,-5,502,115,717,4,0,4.0,A Little Less Conversation - JXL Radio Edit Remix,Elvis Presley,Nike,Recreación y productos deportivos,"Salud, Bienestar y Deportes",2002
A Little Less Conversation - JXL Radio Edit Remix,28ASL502mpsN4rqS2NmrS3,211506,0,385,597,0,205,133,-5,502,115,717,4,0,4.0,A Little Less Conversation - JXL Radio Edit Remix,Elvis Presley,Nike,Recreación y productos deportivos,"Salud, Bienestar y Deportes",2002
A Man Is In Love - 2008 Remastered Version,4CkFScaux1fMVXqtenhP6v,198373,0,841,418,513,333,546,-7,33,126,413,5,1,4.0,A Man Is In Love - 2008 Remastered Version,Steve Miller Band,Chanel,Moda y belleza,Consumo y Retail,2008
A Man Is In Love - 2008 Remastered Version,4CkFScaux1fMVXqtenhP6v,198373,0,841,418,513,333,546,-7,33,126,413,5,1,4.0,A Man Is In Love - 2008 Remastered Version,Steve Miller Band,The Royal Tenenbaums,Película,Entretenimiento y Medios,2001
A Message to You Rudy - 2002 Remastered Version,2EwEtZrsBpjLmwhe7GCGhs,172600,0,149,906,0,232,168,-8,627,103,969,0,1,4.0,A Message to You Rudy - 2002 Remastered Version,The Specials,This Is England,Película,Entretenimiento y Medios,2006
A Minha Menina,0lGEWOZvMexZFXckBJxlVO,284986,47,555,463,926,0,478,-3,122,91,437,7,1,4.0,A Minha Menina,Os Mutantes,McDonalds,Alimentos y bebidas,Consumo y Retail,2013
